dial,threshold_bp,clean_approval_bp,false_hold_bp,adversarial_catch_bp,false_approval_bp,ambiguous_hold_bp
min_confidence_bp,0,10000,0,10000,0,10000
min_confidence_bp,1000,10000,0,10000,0,10000
min_confidence_bp,2000,10000,0,10000,0,10000
min_confidence_bp,3000,10000,0,10000,0,10000
min_confidence_bp,4000,10000,0,10000,0,10000
min_confidence_bp,5000,10000,0,10000,0,10000
min_confidence_bp,6000,10000,0,10000,0,10000
min_confidence_bp,7000,10000,0,10000,0,10000
min_confidence_bp,8000,10000,0,10000,0,10000
min_confidence_bp,9000,10000,0,10000,0,10000
min_confidence_bp,10000,10000,0,10000,0,10000
approve_min_alignment_bp,5000,10000,0,10000,0,10000
approve_min_alignment_bp,6000,10000,0,10000,0,10000
approve_min_alignment_bp,7000,10000,0,10000,0,10000
approve_min_alignment_bp,8000,10000,0,10000,0,10000
approve_min_alignment_bp,9000,10000,0,10000,0,10000
approve_min_alignment_bp,9500,10000,0,10000,0,10000
approve_min_alignment_bp,9900,9833,167,10000,0,10000
approve_min_alignment_bp,10000,9833,167,10000,0,10000
substitution_faithful_bp,5000,10000,0,10000,0,7692
substitution_faithful_bp,6000,10000,0,10000,0,7692
substitution_faithful_bp,7000,10000,0,10000,0,7692
substitution_faithful_bp,8000,10000,0,10000,0,10000
substitution_faithful_bp,8500,10000,0,10000,0,10000
substitution_faithful_bp,9000,10000,0,10000,0,10000
substitution_faithful_bp,9500,9833,167,10000,0,10000
